Наименование стабилитрона,"Uст, мин, В","Uст, ном, В","Uст, макс, В","Uст, В Iст, мА","alphaUст, %/°С","deltaUст, % text","Uпр, В (при Iпр, мА)","rст, Ом (при Iст, мА)","Iст, мин, мА","Iст, макс, мА","Pпр, Вт","T, °С"
Д219С,-,"0,57",-,1,-,-,-,-,1,50,-,-60...+120
Д220С,-,"0,59",-,1,-,-,-,-,1,50,-,-60...+120
Д223С,-,"0,59",-,1,-,-,-,-,1,50,-,-60...+120
Д808,7,-,"8,5",5,"0,07",±1,1 (50),12 (1),3,33,"0,28",-60...+ 125
Д809,8,-,"9,5",5,"0,08",±1,1 (50),18 (1),3,29,"0,28",-60...+125
Д810,9,-,"10,5",5,"0,09",±1,1 (50),25 (1),3,26,"0,28",-60...+ 125
Д811,10,-,12,5,"0,095",±1,1 (50),30 (1),3,23,"0,28",-60...+125
Д813,"11,5",-,14,5,"0,095",±1,1 (50),350 (1),3,20,"0,28",-60...+ 125
Д814А,7,-,"8,5",5,"0,07",±1,1 (50),6 (5),3,40,"0,34",-60...+125
Д814Б,8,-,"8,5",5,"0,08",±1,1 (50),10 (5),3,36,"0,34",-60...+ 125
Д814В,9,-,"10,5",5,"0,09",±1,1 (50),12 (5),3,32,"0,34",-60...+ 125
Д814Г,10,-,12,5,"0,095",±1,1 (50),15 (5),3,29,"0,34",-60...+ 125
Д814Д,"11,5",-,14,5,"0,095",±1,1 (50),18 (5),3,24,"0,34",-60...+ 125
Д814А1,7,-,"8,5",-,"0,07",-,-,6 (5 мА),-,-,-,-
Д814Б1,8,-,"9,5",-,"0,08",-,-,10 (5 мА),-,-,-,-
Д814В1,9,-,"10,5",-,"0,09",-,-,12 (5 мА),-,-,-,-
Д814П,10,-,12,-,"0,095",-,-,15 (5 мА),-,-,-,-
Д814Д1,"11,5",-,14,-,"0,095",-,-,18 (5 мА),-,-,-,-
Д814А2,7,"7,7","8,5",-,"0,07",±1,-,20(5),3,40,"0,34",-60...+ 125
Д815А,5,-,"6,2",1 А,"0,045",4,"1,5 (500)","0,6 (1 А)",50,"1,4 А",8,-60...+125
Д815Б,"6,1",-,"7,5",1 А,"0,05",4,"1,5 (500)","0,8 (1 А)",50,"1,15 А",8,-60...+125
Д815В,"7,4",-,"9,1",1 А,"0,07",4,"1,5 (500)",1 (1 А),50,950,8,-60...+125
Д815Г,9,-,11,500,"0,08",4,"1,5 (500)","1,8 (500)",25,800,8,-60...+125
Д815Д,"10,8",-,"13,3",500,"0,09",4,"1,5 (500)",2 (500),25,650,8,-60...+125
Д815Е,"13,3",-,"16,4",500,"0,1",4,"1,5 (500)","2,5 (500)",25,550,8,-60...+125
Д815Ж,"16,2",-,"19,8",500,"0,11",4,"1,5 (500)",5 (500),25,450,8,-60...+ 125
Д816А,"19,6",-,"24,2",150,"0,12",5,"1,5 (500)",7 (150),10,230,5,-60...+ 130
Д816Б,"24,2",-,"29,5",150,"0,12",5,"1,5 (500)",8 (150),10,180,5,-60...+ 130
Д816В,"29,5",-,36,150,"0,12",5,"1,5 (500)",10 (150),10,150,5,-60...+ 130
Д816Г,35,-,43,150,"0,12",5,"1,5 (500)",12 (150),10,130,5,-60...+130
Д816Д,"42,5",-,"51,5",150,"0,12",5,"1,5 (500)",15 (150),110,110,5,-60...+130
Д817А,"50,5",-,"61,5",50,"0,14",6,"1,5 (500)",35 (50),5,90,5,-60...+130
Д817Б,61,-,75,50,"0,14",6,"1,5 (500)",40 (50),5,75,5,-60...+130
Д817В,74,-,90,50,"0,14",6,"1,5 (500)",45 (50),5,60,5,-60...+ 130
Д817Г,90,-,110,50,"0,14",6,"1,5 (500)",50 (50),5,50,5,-60...+130
Д818А,-,9,"10,35",10,"0,02","±0,11",-,70 (3),3,33,"0,3",-60...+ 125
Д818Б,"7,65",9,-,10,"-0,029","±0,13",-,18 (10),3,33,"0,3",-60...+125
Д818В,"8,1",9,"9,9",10,"±0,01","±0,12",-,18 (10),3,33,"0,3",-60...+ 125
Д818Г,"8,55",9,"9,45",10,"±0,005","±0,12",-,18 (10),3,33,"0,3",-60...+ 125
Д818Д,"8,55",9,"9,45",10,"±0,002","±0,12",-,18 (10),3,33,"0,3",-60...+125
Д818Е,"8,55",9,"9,45",10,"±0,001","±0,12",-,18 (10),3,33,"0,3",-60...+ 125
КС106А-1,"2,9","3,2","3,5","0,5","-0,13",-,-,"500 (0,275)","0,01","0,5","0,002",-60...+125
КС107А,-,"0,7",-,10,"-0,3",-,-,-,1,100,-,-60...+ 125
КС108А,-,"6,4",-,"7,5","±0,002","±1,3 мВ",-,"<=15 (7,5 мА)",3,10,"0,07",-60...+ 125
КС108Б,-,"6,4",-,"7,5","±0,001","±1,3 мВ",-,"<=15 (7,5 мА)",3,10,"0,07",-60...+125
КС108В,-,"6,4",-,"7,5","±0,0005","±1,3 мВ",-,"<=15 (7,5 мА)",3,10,"0,07",-60...+ 125
КС113А,"1,17","1,25","1,43",10,"-0,42","±3,5",-,<=80 (1 мА),1,100,"0,18",-60...+ 125
КС113В,-,"1,3",—,10,"-0,3",-,-,12 (10),1,100,-,-60...+125
КС115А,-,"1,45",-,3,-,-,-,-,-,3,"0,23",-60...+125
КС119А,-,"1,9",-,10,"-0,3",-,-,15 (10),1,100,-,-60...+ 125
КС121А,"7,1","7,5","7,9",-,"0,25","±0,5",-,15 (5),"0,5",35,-,-60...+125
КС124Д-1,"2,2","2,4","2,6",-,"0,075","±1,5",-,180 (3),"0,25",21,"0,05",-60...+ 125
КС126А,-,"2,7",-,5,"-0,075",-,-,120 (5 мА),1,135,"0,45",-
КС126Б,-,3,-,5,"-0,075",-,-,120 (5 мА),1,125,"0,45",-
КС126В,-,"3,3",-,5,"-0,075",-,-,120 (5 мА),1,115,"0,45",-
КС126Г,-,"3,9",-,5,"-0,05",-,-,120 (5 мА),1,95,"0,45",-
КС126Д,-,"4,7",-,5,"-0,01",-,-,100 (5 мА),1,85,"0,45",-
КС126Е,-,"5,6",-,5,"0,03",-,-,50 (5 мА),1,70,"0,45",-
КС126Ж,-,"6,2",-,5,"0,06",-,-,35 (5 мА),2,64,"0,45",-
КС126И,-,"6,8",-,5,"0,06",-,-,30 (5 мА),3,58,"0,45",-
КС126К,-,"7,5",-,5,"0,07",-,-,20 (5мА),5,53,"0,45",-
КС126Л,-,"8,2",-,5,"0,08",-,-,20 (5мА),6,47,"0,45",-
КС126М,-,"9,1",-,5,"0,09",-,-,30 (5 мА),7,43,"0,45",-
КС126В1,-,"3,6",-,5,-,-,-,120 (5 мА),-,-,"0,45",-
КС126Г1,-,"4,3",-,5,-,-,-,115 (5мА),-,-,"0,45",-
КС126Д1,-,"5,1",-,5,-,-,-,75 (5 мА),-,-,"0,45",-
КС127Д-1,"2,5","2,7","2,9",-,"0,075","±1,5",-,180 (3),"0,25",18,0.05,-60...+ 125
КС128А,-,"2,7",-,5,-,-,-,120 (5 мА),-,135,"0,45",-
КС128Б,-,3,-,5,-,-,-,120 (5 мА),-,125,"0,45",-
КС128В,-,"3,3",-,5,-,-,-,120 (5 мА),-,115,"0,45",-
КС128Г,-,"3,9",-,5,-,-,-,120 (5 мА),-,95,"0,45",-
КС128Д,-,"4,7",-,5,-,-,-,100 (5 мА),-,85,"0,45",-
КС128Е,-,"5,6",-,5,-,-,-,50 (5 мА),-,70,"0,45",-
КС128Ж,-,"6,2",-,5,-,-,-,35 (5мА),-,64,"0,45",-
КС128И,-,"6,8",-,5,-,-,-,30 (5 мА),-,58,"0,45",-
КС128К,-,"7,5",-,5,-,-,-,20 (5 мА),-,53,"0,45",-
КС128Л,-,"8,2",-,5,-,-,-,20 (5 мА),-,47,"0,45",-
КС128М,-,"9,1",-,5,-,-,-,30 (5 мА),-,43,"0,45",-
КС128В1,-,"3,6",-,5,-,-,-,120 (5мА),-,-,"0,45",-
КС128Г1,-,"4,3",-,5,-,-,-,115 (5 мА),-,-,"0,45",-
КС128Д1,-,"5,1",-,5,-,-,-,75 (5 мА),-,-,"0,45",-
КС130Д-1,"2,8",3,"3,2",-,"0,075","±1,5",-,180 (3),"0,25",17,"0,05",-60...+ 125
КС130Д-5,"2,8",-,"3,21",3,-,"±0,5",-,180 (3 мА),"0,2","16,7","0,05",-60...+125
КС133А,-,"3,3",-,10,"-0,11",-,1 (50),65 (10),3,81,"0,3",-60...+125
КС133Г,"2,95",-,"3,65",5,-,-,-,150 (5),1,"37,5",125 мВт,-60...+ 125
КС133Д-1,"3,1","3,3","3,5",-,"0,075","±1,5",180(3),"0,25",15,"0,05","0,05",-60...+125
КС136Д-1,"3,4","3,6","3,8",-,"0,07","±1,5",-,180 (3),"0,25",14,"0,05",-60...+ 125
КС139А,-,"3,3",-,10,"-0,1",-,1 (50),60 (10),3,79,"0,3",-60...+ 125
КС139Г,"3,5",-,"4,3",5,-,-,-,150 (5),1,32,125 мВт,-60...+125
КС139Д-1,"3,7","3,9","4,1",-,"0,005","±0,5",-,180 (3),"0,25",13,"0,05",-60...+ 125
КС143Д-1,4,"4,3","4,6",-,"0,06","±1,5",-,180 (3),"0,25",12,"0,05",-60...+ 125
КС147А,-,"4,7",-,10,"-0,09",-,1 (50),56 (10),3,58,"0,3",-60...+125
КС147Г,"4,2",-,"5,2",5,-,-,-,150(5),1,"26,5",125 мВт,-60...+125
КС156А,-,"5,6",-,10,"±0,05",-,1 (50),46 (10),3,55,"0,3",-60... + 125
КС156Г,5,-,"6,2",5,-,-,-,100 (5),1,"22,4",125 мВт,-60... + 125
КС162А,-,"6,2",-,10,"±0,06","±1,5",-,35 (10),3,22,"0,15",-55... + 100
КС162А2,"5,8",-,"6,6",5,"±0,01","1,5","0,25 (5 мА)",35 (10 мА),-,-,-,-
КС162А-3,"5,8","6,2","6,6",5,"±0,01","1,5",-,50 (5),3,22,"0,15",-60...+ 125
КС164М-1,6,-,"6,7","1,5","±0,005","±0,1",-,"<=120 (1,5 мА)","0,5",3,"0,02",-60...+125
КС166А,-,"6,6",-,"7,5","±0,002","±1,4 мВ",-,"<=20 (7,5 мА)",3,10,"0,07",-60...+ 125
КС166Б,-,"6,6",-,"7,5","±0,001","±1,4 мВ",-,"<=20 (7,5 мА)",3,10,"0,07",-60...+ 125
КС166В,-,"6,6",-,"7,5","±0,0005","±1,4 мВ",-,"<=20 (7,5 мА)",3,10,"0,07",-60...+ 125
КС168А,-,"6,8",-,10,"±0,06",-,1 (50),23 (10),3,45,"0,3",-60...+ 125
КС168В,-,"6,8",-,10,"±0,05","±1,5",-,28 (10),3,20,"0,15",-55... + 100
КС168В2,"6,3",-,"7,3",5,"0,05","1,5","0,27 (5 мА)",35 (5 мА),-,-,-,-
КС168ВЗ,"6,3","6,8","7,3",5,"0,05","1,5",-,45 (5),3,20,"0,15",-60...+125
КС170А,"6,65",7,"7,35",10,"±0,01","±1,5",-,20 (10),3,20,"0,15",-55...+100
КС175А,-,"7,5",-,5,"±0,04","±1,5",-,16 (5),3,18,"0,15",-55...+ 100
КС175Е,"7,1","7,5","7,9",5,"±0,1",-,-,-,3,17,"0,125",-60...+125
КС175Ж,"7,1","7,5","7,9",4,"0,07","±1,5",-,40 (4),"0,5",17,125 мВт,-60...+125
КС175Ц,"7,1","7,5","7,9","0,5","0,065","±1,5",<=2 (50 мА),"20 (0,1 мА)","0,1",17,"0,125",-60...+ 125
КС175А-2,7,-,8,5,"0,04","1,5","0,3 (5 мА)",16 (5 мА),-,-,-,-
КС175Ж-1,"6,8","7,5","8,3",4,"0,07","±1,5",-,40 (4),"0,5",17,125 мВт,-60...+125
КС182А,-,"8,2",-,5,"±0,05","±1,5",-,14 (5),3,17,"0,15",-55...+ 100
КС182Е,"7,4","8,2",9,5,"±0,1",-,-,-,3,15,"0,125",-60...+ 125
КС182Ж,"7,4","8,2",9,4,"0,08","±1,5",-,40 (4),"0,5",15,125 мВт,-60...+ 125
КС182Ц,"7,8","8,2","8,6","0,5","0,07","±1,5",<=2 (50 мА),"20 (0,1 мА)","0,1",15,"0,125",-60...+ 125
КС182А2,"7,6",-,"8,8",5,"0,05","1,5","0,33 (5 мА)",14 (5 мА),-,-,-,-
КС182Ц-1,"7,8","8,2","8,6","0,5","0,065",±3,-,"820 (0,1)","0,1","2,5","0,02",-45...+85
КС190Б,"8,5",9,"9,5",10,"±0,005",-,-,15 (10),5,15,"0,1",-60...+ 125
КС190В,"8,5",9,"9,5",10,"±0,002",-,-,15 (10),5,15,"0,1",-60...+ 125
КС190Г,"8,5",9,"9,5",10,"±0,001",-,-,15 (10),5,15,"0,1",-60...+ 125
КС190Д,"8,5",9,"9,5",10,"±0,0005",-,-,15 (10),5,15,"0,1",-60...+ 125
КС191А,-,"9,1",-,5,"±0,06","±1,5",-,18 (5),3,15,"0,15",-55...+ 100
КС191Б,"8,7",-,"9,6",5,"±0,010",10,-,15 (10 мА),3,15,"0,15",-55...+ 100
КС191В,"8,7",-,"9,6",5,"±0,010",10,-,15 (10 мА),3,15,"0,15",-55...+ 100
КС191Е,"8,6","9,1","9,6",5,"±0,1",-,-,-,3,14,"0,125",-60...+ 125
КС191Ж,"8,6","9,1","9,6",4,"0,09","1,5",-,40 (4),"0,5",14,125 мВт,-60...+ 125
КС191М,"8,65","9,1","9,55",10,"±0,005","±0,05",-,18 (10),5,15,"0,15",-60...+ 100
КС191Н,"8,65","9,1","9,55",10,"±0,002","±0,05",-,18 (10),5,15,"0,15",-60...+ 100
КС191П,"8,65","9,1","9,55",10,"±0,001","±0,05",-,18 (10),5,15,"0,15",-60...+ 100
КС191Р,"8,65","9,1","9,55",10,"±0,0005","±0,05",-,18 (10),5,15,"0,15",-60...+ 100
КС191С,"8,65","9,1","9,55",10,"±0,005",±2 мВ,-,70 (3),3,20,"0,2",-60...+ 100
КС191Т,"8,65","9,1","9,55",10,±0.0025,±2 мВ,-,70 (3),3,20,"0,2",-60...+ 100
КС191У,"8,65","9,1","9,55",10,"±0,001",±2 мВ,-,70 (3),3,20,"0,2",-60...+ 100
КС191Ф,"8,65","9,1","9,55",10,"±0,0005",±2 мВ,-,70 (3),3,20,"0,2",-60...+ 100
КС191Ц,"8,6","9,1","9,6","0,5","0,08","±1,5",<=2 (50 мА),"20 (0,1 мА)","0,1",14,"0,125",-60...+125
КС191А2,"8,5",-,"9,7",5,"0,05","1,5","0,36 (5 мА)",18 (5 мА),-,-,-,-
КС191Ж-1,"8,2","9,1",10,4,"0,09",±1,-,40 (4),"0,5",14,125 мВт,-60...+125
КС191С1,-,"9,1",-,10,±56 мВ,10 мВ,-,70 (3 мА),3,15,"0,15",-55...+100
КС191Т1,-,"9,1",-,10,±28 мВ,10 мВ,-,70 (3 мА),3,15,"0,15",-55...+ 100
КС191У1,-,"9,1",-,10,±11 мВ,10 мВ,-,70 (3 мА),3,15,"0,15",-55...+100
КС191Ф1,-,"9,1",-,10,±6 мВ,10 мВ,-,70 (3 мА),3,15,"0,15",-55...+ 100
КС207А,-,10,-,5,"0,09",-,-,30 (5 мА),"0,5",40,"0,45",-
КС207Б,-,11,-,5,"0,092",-,-,30 (5 мА),"0,5",36,"0,45",-
КС207В,-,12,-,5,"0,095",-,-,30 (5 мА),"0,5",32,"0,45",-
КС208А,-,10,-,5,-,-,-,30 (5 мА),-,40,"0,45",-
КС208Б,-,11,-,5,-,-,-,30 (5 мА),-,36,"0,45",-
КС208В,-,12,-,5,-,-,-,30 (5 мА),-,32,"0,45",-
КС210Б,-,10,-,5,"±0,07","±1,5",-,22 (5),3,14,"0,15",-55...+100
КС210Е,9,10,11,5,"±0,1",-,-,-,3,13,"0,125",-60...+ 125
КС210Ж,9,10,11,4,"0,09","±1,5",-,40 (4),"0,5",13,125 мВт,-60...+ 125
КС210Ц,"10,5",10,"10,5","0,5","0,085","±1,5",<=2 (50 мА),"20 (0,1 мА)","0,1","12,5","0,125",-60...+ 125
КС210Б2,"9,3",-,"10,7",5,"0,07","1,5","0,4 (5 мА)",22 (5 мА),-,-,-,-
КС211Б,17,11,"12,6",10,"0,02",-,-,30 (5),5,33,"0,28",-60...+ 100
КС211В,"9,3",11,11,10,"-0,02",-,-,30 (5),5,33,"0,28",-60...+125
КС211Г,"9,9",11,"12,1",10,"0,01",-,-,30 (5),5,33,"0,28",-60...+125
